,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Torbay,47.6666,-52.7314,24.64,88,93,17.2,CA,1613638800
1,Punta Arenas,-53.15,-70.9167,43.86,77,79,6.46,CL,1613638800
2,Cherskiy,68.75,161.3,-28.05,98,3,0.58,RU,1613638800
3,Marzuq,14.4,46.4667,86.85,13,0,3.36,YE,1613638800
4,Pyn U Lwin,22.0333,96.4667,87.73,24,18,8.59,MM,1613638800
5,San Cristobal,7.7669,-72.225,65.1,88,98,2.06,VE,1613638800
6,Mataura,-46.1927,168.8643,53.02,93,61,2.01,NZ,1613638800
7,Kapaa,22.0752,-159.319,73.44,86,87,13.13,US,1613638800
8,New Norfolk,-42.7826,147.0587,70.47,51,0,3.74,AU,1613638800
9,Nanortalik,60.1432,-45.2371,18.1,59,1,8.12,GL,1613638800
10,George Town,5.4112,100.3354,91.47,37,44,3.56,MY,1613638800
11,São Filipe,14.8961,-24.4956,71.85,69,56,8.57,CV,1613638800
12,Saint-Philippe,-21.3585,55.7679,81.99,77,28,1.12,RE,1613638800
13,Lich,50.5209,8.8157,40.95,90,100,7.63,DE,1613638800
14,Ushuaia,-54.8,-68.3,46.8,88,95,1.74,AR,1613638800
15,Gohadi,26.4261,78.4447,84.81,29,1,3.78,IN,1613638800
16,Găgeşti,46.3333,27.9667,34.45,81,91,9.04,RO,1613638800
17,Skjervøy,70.0311,20.9714,30.4,75,13,21.07,NO,1613638800
18,Qaanaaq,77.484,-69.3632,-5.82,63,52,6.08,GL,1613638800
19,Petauke,-14.2426,31.3253,78.55,82,100,6.67,ZM,1613638800
20,Saint-François,46.4154,3.9054,51.21,67,45,11.25,FR,1613638800
21,Obo,5.3998,26.4869,73.9,34,100,5.88,CF,1613638800
22,Rawson,-43.3002,-65.1023,62.62,59,0,5.21,AR,1613638800
23,Homer,59.6425,-151.5483,32.88,90,86,7.02,US,1613638800
24,Tazovsky,67.4667,78.7,-27.29,96,74,7.99,RU,1613638800
25,Jinxiang,27.4327,120.6062,53.96,52,0,7.85,CN,1613638800
26,Hithadhoo,-0.6,73.0833,83.52,68,1,8.9,MV,1613638800
27,Senneterre,48.3835,-77.2328,-2.07,88,41,3.09,CA,1613638800
28,Kajaani,64.2273,27.7285,5.13,88,70,5.19,FI,1613638800
29,Hilo,19.7297,-155.09,72.25,80,94,2.62,US,1613638800
30,Tuktoyaktuk,69.4541,-133.0374,-23.03,87,96,6.02,CA,1613638800
31,Mar del Plata,-38.0023,-57.5575,64.38,93,52,2.91,AR,1613638800
32,Port Alfred,-33.5906,26.891,75.97,70,5,20.54,ZA,1613638800
33,Tuatapere,-46.1333,167.6833,54.3,91,53,2.73,NZ,1613638800
34,Worland,44.0169,-107.9554,15.44,94,95,3.83,US,1613638800
35,Rehoboth,-23.3167,17.0833,81.41,28,10,4.61,NA,1613638800
36,Shimoda,34.6667,138.95,41.99,59,1,29.91,JP,1613638800
37,Butaritari,3.0707,172.7902,81.7,82,39,19.55,KI,1613638800
38,Rikitea,-23.1203,-134.9692,78.91,68,22,9.19,PF,1613638800
39,Albany,42.6001,-73.9662,18.37,76,91,1.54,US,1613638800
40,Avarua,-21.2078,-159.775,82.29,77,76,12.59,CK,1613638800
41,Busselton,-33.65,115.3333,65.23,50,2,17.02,AU,1613638800
42,Tazmalt,36.3868,4.3989,59.43,41,15,5.77,DZ,1613638800
43,Cape Town,-33.9258,18.4232,68.18,72,81,8.34,ZA,1613638800
44,Upernavik,72.7868,-56.1549,-13.22,87,13,3.69,GL,1613638800
45,Dutse,11.7594,9.3392,67.03,33,0,17.81,NG,1613638800
46,Portland,45.5234,-122.6762,39.7,79,87,2.68,US,1613638800
47,Smirnykh,49.75,142.8333,13.32,83,7,8.79,RU,1613638800
48,Khilok,51.3674,110.4676,31.28,86,92,3.18,RU,1613638800
49,Hermanus,-34.4187,19.2345,67.75,69,60,11.21,ZA,1613638800
50,Mbulu,-3.85,35.5333,73.98,61,100,9.08,TZ,1613638800
51,Port Blair,11.6667,92.75,83.57,66,63,15.3,IN,1613638800
52,Kavieng,-2.5744,150.7967,83.41,77,91,8.66,PG,1613638800
53,Tabou,4.423,-7.3528,75.74,89,97,9.22,CI,1613638800
54,Airai,-8.9266,125.4092,66.99,99,85,3.38,TL,1613638800
55,Lebu,-37.6167,-73.65,52.97,88,0,8.41,CL,1613638800
56,Port Hardy,50.6996,-127.4199,40.86,78,95,19.22,CA,1613638800
57,Chokurdakh,70.6333,147.9167,-20.38,92,87,7.38,RU,1613638800
58,Atuona,-9.8,-139.0333,79.68,77,37,15.35,PF,1613638800
59,Port Elizabeth,-33.918,25.5701,75.22,60,12,18.21,ZA,1613638800
60,Antalaha,-14.9003,50.2788,86.31,71,24,7.31,MG,1613638800
61,Batagay-Alyta,67.8006,130.4114,-29.07,83,65,0.96,RU,1613638800
62,Copiapó,-27.3667,-70.3333,58.17,80,39,0.47,CL,1613638800
63,Norman Wells,65.282,-126.8329,-2.83,84,87,1.9,CA,1613638800
64,Souillac,-20.5167,57.5167,86.79,66,35,7.36,MU,1613638800
65,Tasiilaq,65.6145,-37.6368,31.33,96,87,7.49,GL,1613638800
66,Bethel,41.3712,-73.414,21.61,66,95,4.88,US,1613638800
67,Yablochnyy,47.1661,142.0661,20.84,90,81,9.53,RU,1613638800
68,Ust'-Ishim,57.6935,71.1665,-0.58,90,94,2.19,RU,1613638800
69,Provideniya,64.3833,-173.3,-6.59,83,6,6.02,RU,1613638800
70,Itatiaia,-22.4961,-44.5633,68.31,93,73,1.3,BR,1613638800
71,Saint Paul Harbor,57.79,-152.4072,34.61,85,83,8.01,US,1613638800
72,Smithers,54.7804,-127.1743,18.68,93,69,2.39,CA,1613638800
73,Wahiawā,21.5028,-158.0236,69.76,86,87,5.75,US,1613638800
74,Lodja,-3.4833,23.4333,80.64,82,100,1.74,CD,1613638800
75,Porto-Novo,6.4965,2.6036,85.32,77,69,3.67,BJ,1613638800
76,Hobart,-42.8794,147.3294,71.67,53,0,8.08,AU,1613638800
77,Usinsk,65.9939,57.5281,-16.46,88,100,16.06,RU,1613638800
78,Kenora,49.8167,-94.4337,-2.58,72,70,1.3,CA,1613638800
79,Saskylakh,71.9167,114.0833,-33.72,80,1,3.02,RU,1613638800
80,Carnarvon,-24.8667,113.6333,81.48,65,7,28.21,AU,1613638800
81,Ubari,26.5921,12.7805,57.2,47,58,10.76,LY,1613638800
82,Karratha,-20.7377,116.8463,87.87,64,3,12.68,AU,1613638800
83,Grenå,56.4158,10.8783,35.08,98,95,20.98,DK,1613638800
84,Saldanha,-33.0117,17.9442,68.07,67,25,13.27,ZA,1613638800
85,Pevek,69.7008,170.3133,-28.44,85,4,1.66,RU,1613638800
86,Bredasdorp,-34.5322,20.0403,66.63,68,65,10.74,ZA,1613638800
87,Cairns,-16.9167,145.7667,74.71,95,95,3.29,AU,1613638800
88,Lavrentiya,65.5833,-171.0,-15.99,87,31,0.65,RU,1613638800
89,Kangaatsiaq,68.3065,-53.4641,-3.71,91,73,7.0,GL,1613638800
90,Guerrero Negro,27.9769,-114.0611,55.74,85,1,4.61,MX,1613638800
91,Fare,-16.7,-151.0167,81.3,75,52,13.94,PF,1613638800
92,Khatanga,71.9667,102.5,-19.91,95,98,8.5,RU,1613638800
93,Nago,26.5881,127.9761,53.56,63,94,21.34,JP,1613638800
94,Limanowa,49.7059,20.422,34.18,94,100,3.44,PL,1613638800
95,East London,-33.0153,27.9116,76.8,63,0,20.24,ZA,1613638800
96,Codrington,-38.2667,141.9667,87.93,30,0,10.49,AU,1613638800
97,Chekmagush,55.1319,54.6556,-1.35,92,100,8.05,RU,1613638800
98,Puerto Ayora,-0.7393,-90.3518,76.1,89,65,4.72,EC,1613638800
99,Chui,-33.6971,-53.4616,64.81,96,37,8.79,UY,1613638800
100,Jamestown,42.097,-79.2353,17.11,88,95,4.54,US,1613638800
101,Vallenar,-28.5708,-70.7581,55.58,81,0,1.12,CL,1613638800
102,Pedro Juan Caballero,-22.5472,-55.7333,62.04,88,0,3.18,PY,1613638800
103,Bluff,-46.6,168.3333,56.37,86,73,8.16,NZ,1613638800
104,Korla,41.7597,86.1469,50.36,31,0,12.24,CN,1613638800
105,Mount Gambier,-37.8333,140.7667,86.95,30,2,1.12,AU,1613638800
106,Ponta do Sol,32.6667,-17.1,61.56,72,53,3.2,PT,1613638800
107,Dikson,73.5069,80.5464,-29.69,96,77,8.21,RU,1613638800
108,Vanimo,-2.6741,141.3028,83.25,76,19,4.61,PG,1613638800
109,Cockburn Town,21.4612,-71.1419,77.83,76,34,24.02,TC,1613638800
110,Ribeira Grande,38.5167,-28.7,60.33,81,87,31.03,PT,1613638800
111,Abu Samrah,35.3029,37.1841,47.07,64,22,17.98,SY,1613638800
112,Castro,-24.7911,-50.0119,55.4,81,1,3.78,BR,1613638800
113,Hay River,60.8156,-115.7999,0.86,79,0,7.38,CA,1613638800
114,Honningsvåg,70.9821,25.9704,27.66,61,41,13.09,NO,1613638800
115,Hamilton,39.1834,-84.5333,20.23,95,95,5.1,US,1613638800
116,Vuktyl,63.8567,57.3094,-17.1,94,98,5.99,RU,1613638800
117,General Roca,-39.0333,-67.5833,64.58,46,0,7.49,AR,1613638800
118,Klaksvík,62.2266,-6.589,44.44,93,55,24.11,FO,1613638800
119,Kadapa,14.4667,78.8167,90.93,34,11,12.44,IN,1613638800
120,Mayumba,-3.432,10.6554,79.48,83,98,1.99,GA,1613638800
121,Novyye Atagi,43.1353,45.7731,24.42,85,41,4.12,RU,1613638800
122,Bambous Virieux,-20.3428,57.7575,86.92,65,23,1.61,MU,1613638800
123,Qinhuangdao,39.9317,119.5883,35.53,67,4,11.1,CN,1613638800
124,‘Āhuimanu,21.4447,-157.8378,73.35,80,49,12.93,US,1613638800
125,Agüimes,27.9054,-15.4461,60.75,64,49,10.92,ES,1613638800
126,Qasigiannguit,68.8193,-51.1922,-4.14,75,50,2.95,GL,1613638800
127,Honāvar,14.2833,74.45,87.58,49,16,10.31,IN,1613638800
128,Dicabisagan,17.0818,122.4157,70.56,90,95,15.97,PH,1613638800
129,Haines Junction,60.7522,-137.5108,19.17,94,65,2.35,CA,1613638800
130,Alice Springs,-23.7,133.8833,91.78,23,56,11.1,AU,1613638800
131,Geraldton,-28.7667,114.6,71.37,53,19,26.19,AU,1613638800
132,Nikolskoye,59.7035,30.7861,-0.13,88,0,3.67,RU,1613638800
133,Cidreira,-30.1811,-50.2056,68.88,71,15,13.02,BR,1613638800
134,Sitka,57.0531,-135.33,36.95,70,87,8.21,US,1613638800
135,Tiksi,71.6872,128.8694,-20.36,99,100,7.52,RU,1613638800
136,Harper,4.375,-7.7169,75.78,88,70,9.46,LR,1613638800
137,Scarborough,54.2797,-0.4044,46.85,82,100,28.12,GB,1613638800
138,Tabuk,17.4189,121.4443,65.05,89,99,11.16,PH,1613638800
139,Le Vauclin,14.5452,-60.8388,77.05,74,21,21.25,MQ,1613638800
140,Broken Hill,-31.95,141.4333,88.3,20,0,13.13,AU,1613638800
141,Spornoye,50.8448,37.2913,12.34,86,46,2.01,RU,1613638800
142,Esim,4.8699,-2.2405,82.74,80,100,5.5,GH,1613638800
143,Esperance,-33.8667,121.9,67.26,52,25,26.08,AU,1613638800
144,Ranong,9.9658,98.6348,86.65,54,24,13.38,TH,1613638800
145,Zhigansk,66.7697,123.3711,-26.54,82,51,10.09,RU,1613638800
146,Alekseyevsk,57.8406,108.3492,13.84,92,100,5.82,RU,1613638800
147,Gornopravdinsk,60.05,69.9,-8.93,85,33,1.61,RU,1613638800
148,Cururupu,-1.8283,-44.8683,73.24,96,100,1.21,BR,1613638800
149,Meulaboh,4.1363,96.1285,86.74,61,31,6.71,ID,1613638800
150,Eyl,7.9803,49.8164,82.4,55,100,16.42,SO,1613638800
151,Plettenberg Bay,-34.0527,23.3716,70.38,71,21,13.18,ZA,1613638800
152,Clyde River,70.4692,-68.5914,-27.35,75,10,1.9,CA,1613638800
153,Bintulu,3.1667,113.0333,81.19,80,60,12.8,MY,1613638800
154,Altamont,42.2068,-121.7372,29.03,84,35,3.56,US,1613638800
155,Saint George,37.1041,-113.5841,35.33,43,1,5.35,US,1613638800
156,Kloulklubed,7.0419,134.2556,82.47,83,73,19.64,PW,1613638800
157,Karlovasi,37.7903,26.7044,45.03,59,54,5.79,GR,1613638800
158,Santa Cruz,30.4202,-9.5982,65.61,58,29,4.97,MA,1613638800
159,Vaini,-21.2,-175.2,80.2,86,32,13.29,TO,1613638800
160,Ancud,-41.8697,-73.8203,54.86,97,95,12.84,CL,1613638800
161,Hong Kong,22.2855,114.1577,66.0,63,6,10.87,HK,1613638800
162,Luba,3.4568,8.5547,81.97,73,68,4.47,GQ,1613638800
163,Boali,4.8005,18.1275,87.26,18,90,9.89,CF,1613638800
164,Tiznit Province,29.5833,-9.5,59.02,34,51,4.34,MA,1613638800
165,Flin Flon,54.7682,-101.865,-6.48,91,90,3.91,CA,1613638800
166,Kandrian,-6.2167,149.55,81.72,82,91,4.99,PG,1613638800
167,Arraial do Cabo,-22.9661,-42.0278,77.38,91,69,4.7,BR,1613638800
168,Rakiv Lis,51.6217,24.9243,10.56,92,50,7.2,UA,1613638800
169,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.85,79,59,3.91,RU,1613638800
170,Port Macquarie,-31.4333,152.9167,70.72,88,35,9.17,AU,1613638800
171,Arinos,-15.9169,-46.1056,70.81,96,100,1.81,BR,1613638800
172,Isangel,-19.55,169.2667,82.8,77,75,2.93,VU,1613638800
173,Yulara,-25.2406,130.9889,98.42,22,31,8.57,AU,1613638800
174,Matagami,49.7502,-77.6328,-3.41,92,90,4.21,CA,1613638800
175,Sainte-Marie,-20.8968,55.5496,84.43,76,33,6.85,RE,1613638800
176,Tezu,27.9167,96.1667,83.3,28,81,3.02,IN,1613638800
177,Megion,61.0296,76.1136,-18.63,78,11,7.05,RU,1613638800
178,Lata,40.1629,-8.3327,54.86,87,87,7.43,PT,1613638800
179,San Quintín,30.4833,-115.95,54.99,79,0,6.29,MX,1613638800
180,Zhoucheng,35.9122,116.3117,53.04,42,28,10.33,CN,1613638800
181,Santo Antônio do Içá,-3.1022,-67.9397,73.58,97,83,4.59,BR,1613638800
182,Władysławowo,54.7909,18.4009,24.04,87,0,16.4,PL,1613638800
183,Kibaya,-5.3,36.5667,74.86,66,98,7.58,TZ,1613638800
184,Mahébourg,-20.4081,57.7,86.36,67,26,1.48,MU,1613638800
185,Malanje,-9.5402,16.341,73.74,81,86,1.32,AO,1613638800
186,Phang Nga,8.4509,98.5298,91.81,41,11,8.61,TH,1613638800
187,Strezhevoy,60.7333,77.5889,-18.29,81,34,5.59,RU,1613638800
188,San Patricio,28.017,-97.5169,34.59,94,95,15.79,US,1613638800
189,Sitārganj,28.9333,79.7,83.21,27,0,5.01,IN,1613638800
190,Herat Province,34.5,62.0,75.63,8,49,23.96,AF,1613638800
191,Lompoc,34.6391,-120.4579,47.61,56,1,6.13,US,1613638800
192,Praia da Vitória,38.7333,-27.0667,58.46,81,79,28.43,PT,1613638800
193,Salalah,17.0151,54.0924,78.31,52,21,11.01,OM,1613638800
194,Wawa,9.9022,4.4192,77.9,23,1,8.34,NG,1613638800
195,Muzhi,65.3667,64.6667,-10.89,85,100,6.17,RU,1613638800
196,Iqaluit,63.7506,-68.5145,-2.25,78,95,2.3,CA,1613638800
197,Santiago de Cuba,20.0247,-75.8219,70.36,93,12,3.49,CU,1613638800
198,Labuhan,-6.8844,112.2051,81.54,84,49,16.89,ID,1613638800
199,Buala,-8.145,159.5921,83.55,74,98,3.29,SB,1613638800
200,São João da Barra,-21.6403,-41.0511,77.38,84,96,8.32,BR,1613638800
201,Atyrau,47.1167,51.8833,17.8,65,49,17.72,KZ,1613638800
202,Kochubey,44.3861,46.5825,22.71,84,74,7.63,RU,1613638800
203,Kruisfontein,-34.0033,24.7314,75.76,56,17,20.18,ZA,1613638800
204,Broome,42.2506,-75.833,16.23,84,95,2.84,US,1613638800
205,Acapulco de Juárez,16.8634,-99.8901,68.16,79,1,5.32,MX,1613638800
206,Sharan,54.8167,54.0,-0.99,90,99,7.58,RU,1613638800
207,Guánica,17.9716,-66.908,71.56,88,4,7.18,PR,1613638800
208,Ilulissat,69.2167,-51.1,-4.22,78,65,2.98,GL,1613638800
209,Paamiut,61.994,-49.6678,13.62,85,14,27.47,GL,1613638800
210,Longyearbyen,78.2186,15.6401,26.01,83,68,5.64,SJ,1613638800
211,Ryōtsu-minato,38.0833,138.4333,34.61,72,86,17.38,JP,1613638800
212,Shunyi,40.125,116.6453,40.84,17,49,1.25,CN,1613638800
213,Mt. Pleasant,32.7941,-79.8626,60.15,99,99,7.38,US,1613638800
214,Sobolevo,54.4299,31.8996,0.77,92,50,8.46,RU,1613638800
215,Kogon,39.7228,64.5517,81.93,12,94,27.51,UZ,1613638800
216,Coro,11.4045,-69.6734,73.22,89,72,10.6,VE,1613638800
217,Azua,18.4532,-70.7349,70.83,39,9,3.98,DO,1613638800
218,Yellowknife,62.456,-114.3525,-8.07,88,87,7.4,CA,1613638800
219,Newport,51.5877,-2.9984,43.3,85,100,10.45,GB,1613638800
220,Kuril'sk,45.2333,147.8833,25.57,96,100,11.61,RU,1613638800
221,Sur,22.5667,59.5289,85.66,23,3,12.5,OM,1613638800
222,Barrow,71.2906,-156.7887,-21.1,84,69,10.09,US,1613638800
223,Lagoa,39.05,-27.9833,59.02,79,98,35.84,PT,1613638800
224,Olinda,-8.0089,-34.8553,78.58,69,69,6.15,BR,1613638800
225,Belūsovka,50.1339,82.5239,35.04,80,87,1.92,KZ,1613638800
226,Vardø,70.3705,31.1107,24.75,83,48,17.25,NO,1613638800
227,Ketchikan,55.3422,-131.6461,35.29,83,49,6.22,US,1613638800
228,Katsuura,35.1333,140.3,41.92,50,27,5.75,JP,1613638800
229,Manzanillo,20.3433,-77.1167,70.2,82,2,3.8,CU,1613638800
230,Gobabis,-22.45,18.9667,80.02,30,24,7.52,NA,1613638800
231,Belgrade,44.804,20.4651,45.0,80,17,9.73,RS,1613638800
232,Yar-Sale,66.8333,70.8333,-18.71,85,89,6.87,RU,1613638800
233,Cañon City,38.441,-105.2424,22.59,96,95,4.27,US,1613638800
234,Hambantota,6.1241,81.1185,87.39,61,56,10.54,LK,1613638800
235,Assiniboia,49.6334,-105.9845,-6.32,87,69,10.31,CA,1613638800
236,Bima,-8.4667,118.7167,83.53,78,96,3.0,ID,1613638800
237,Evensk,61.95,159.2333,1.69,81,32,15.17,RU,1613638800
238,Grand Gaube,-20.0064,57.6608,86.41,68,27,8.19,MU,1613638800
239,Andenes,69.3143,16.1194,31.5,84,26,7.96,NO,1613638800
240,Birobidzhan,48.8,132.95,15.3,85,61,5.7,RU,1613638800
241,Colorado,-22.8375,-51.9731,63.1,84,0,4.09,BR,1613638800
242,Tot'ma,59.9747,42.7642,-2.4,95,100,2.35,RU,1613638800
243,Troitsko-Pechorsk,62.7084,56.1964,-14.6,87,26,3.83,RU,1613638800
244,Douglas,41.3,-96.167,7.88,83,82,6.42,US,1613638800
245,Manitouwadge,49.1215,-85.8403,-1.52,85,18,2.17,CA,1613638800
246,Taos,36.4072,-105.5731,16.9,93,94,3.56,US,1613638800
247,Banda Aceh,5.5577,95.3222,86.52,59,17,6.82,ID,1613638800
248,French Harbor,16.35,-86.4333,80.31,77,66,24.09,HN,1613638800
249,Dongsheng,39.8161,109.9776,44.29,48,0,13.85,CN,1613638800
250,Grindavik,63.8424,-22.4338,37.85,85,87,15.1,IS,1613638800
251,Maputo,-25.9653,32.5892,83.64,68,57,11.99,MZ,1613638800
252,Bengkulu,-3.8004,102.2655,86.23,61,64,7.81,ID,1613638800
253,Cap Malheureux,-19.9842,57.6142,86.43,68,27,7.78,MU,1613638800
254,Barra de Tecoanapa,16.5167,-98.75,66.65,87,1,3.96,MX,1613638800
255,Lanzhou,36.0564,103.7922,49.46,27,0,2.3,CN,1613638800
256,Manturovo,58.3353,44.7619,3.02,94,97,1.28,RU,1613638800
257,Aktash,50.3,87.7333,28.69,81,99,4.07,RU,1613638800
258,Kathmandu,27.7167,85.3167,65.14,38,52,6.24,NP,1613638800
259,Puchezh,56.9788,43.1676,-0.47,95,93,5.53,RU,1613638800
260,Gananoque,44.3334,-76.1661,11.35,90,100,0.31,CA,1613638800
261,Muscat,23.6139,58.5922,82.6,57,12,9.86,OM,1613638800
262,Pangoa,-12.1167,-73.0,67.23,99,95,1.1,PE,1613638800
263,Yakeshi,49.2833,120.7333,9.39,94,99,7.31,CN,1613638800
264,Pisco,-13.7,-76.2167,69.03,76,7,1.23,PE,1613638800
265,El Batey,19.7667,-70.5167,72.39,91,44,11.97,DO,1613638800
266,Cayenne,4.9333,-52.3333,75.22,91,54,10.04,GF,1613638800
267,San Pedro Carchá,15.4833,-90.2667,62.38,82,92,3.4,GT,1613638800
268,Alofi,-19.0595,-169.9187,82.18,85,87,6.98,NU,1613638800
269,Dakar,14.6937,-17.4441,68.68,72,97,16.4,SN,1613638800
270,Salisbury,51.0693,-1.7957,45.5,95,87,7.74,GB,1613638800
271,Vestmanna,62.1564,-7.1664,42.58,94,77,13.4,FO,1613638800
272,Menongue,-14.6585,17.691,71.35,74,91,1.61,AO,1613638800
273,Kerman,30.2832,57.0788,70.16,14,84,4.38,IR,1613638800
274,Vila Franca do Campo,37.7167,-25.4333,58.08,81,87,17.38,PT,1613638800
275,Yeppoon,-23.1333,150.7333,78.8,72,69,11.61,AU,1613638800
276,Lima,-12.0432,-77.0282,72.54,79,37,3.96,PE,1613638800
277,Fairbanks,64.8378,-147.7164,4.14,89,59,1.45,US,1613638800
278,Vestmannaeyjar,63.4427,-20.2734,40.03,83,84,13.44,IS,1613638800
279,Thompson,55.7435,-97.8558,-9.96,88,80,3.13,CA,1613638800
280,Edson,53.5835,-116.4356,6.93,88,1,4.5,CA,1613638800
281,Birao,10.2849,22.7882,75.92,15,55,13.49,CF,1613638800
282,Amuntai,-2.4177,115.2494,85.05,77,100,2.91,ID,1613638800
283,Darhan,49.4867,105.9228,31.35,77,78,9.93,MN,1613638800
284,Leshukonskoye,64.8989,45.7622,-7.02,90,100,7.14,RU,1613638800
285,Morón,-34.6534,-58.6198,68.45,85,10,3.67,AR,1613638800
286,Itarema,-2.9248,-39.9167,76.91,89,98,5.75,BR,1613638800
287,Zhalantun,48.0,122.7167,14.59,87,80,1.52,CN,1613638800
288,Cabo San Lucas,22.8909,-109.9124,61.34,78,0,11.95,MX,1613638800
289,Poum,-20.2333,164.0167,83.01,80,93,9.46,NC,1613638800
290,Sakakah,29.9697,40.2064,51.35,38,0,22.03,SA,1613638800
291,Ngunguru,-35.6167,174.5,63.86,73,56,11.79,NZ,1613638800
